Código,Nome,Estado,Sigla Gênero,Gênero,Data de nascimento,Idade,Primeira legislatura
337,Júnior Mano,CE,M,Masculino,16/04/1985,40,TRUE
338,Juscelino Filho,MA,M,Masculino,06/11/1984,40,TRUE
339,Katia Dias,MG,F,Feminino,27/02/1978,47,TRUE
340,Keniston Braga,PA,M,Masculino,02/06/1967,58,TRUE
341,Kiko Celeguim,SP,M,Masculino,05/05/1984,41,TRUE
342,Kim Kataguiri,SP,M,Masculino,28/01/1996,29,TRUE
343,Lafayette de Andrada,MG,M,Masculino,17/10/1966,59,TRUE
344,Laura Carneiro,RJ,F,Feminino,01/05/1963,62,TRUE
345,Lázaro Botelho,MA,M,Masculino,11/02/1947,78,TRUE
346,Leandre,PR,F,Feminino,20/12/1975,49,TRUE
347,Lebrão,SP,M,Masculino,10/03/1955,70,TRUE
348,Lêda Borges,MG,F,Feminino,02/11/1961,63,TRUE
349,Lenir de Assis,PR,F,Feminino,18/09/1969,56,TRUE
350,Leo Prates,BA,M,Masculino,05/04/1978,47,TRUE
351,Leonardo Gadelha,DF,M,Masculino,12/05/1975,50,TRUE
352,Leonardo Monteiro,MG,M,Masculino,09/10/1951,74,TRUE
353,Leônidas Cristino,CE,M,Masculino,03/06/1957,68,TRUE
354,Leur Lomanto Júnior,BA,M,Masculino,28/10/1976,48,TRUE
355,Lídice da Mata,BA,F,Feminino,12/03/1956,69,TRUE
356,Lincoln Portela,MG,M,Masculino,03/11/1953,71,TRUE
357,Lindbergh Farias,PB,M,Masculino,08/12/1969,55,TRUE
358,Loreny,SP,F,Feminino,11/07/1991,34,TRUE
359,Lucas Ramos,PE,M,Masculino,14/02/1986,39,TRUE
360,Lucas Redecker,RS,M,Masculino,26/05/1981,44,TRUE
361,Luciano Alves,PR,M,Masculino,08/01/1973,52,TRUE
362,Luciano Amaral,AL,M,Masculino,27/06/1986,39,TRUE
363,Luciano Azevedo,RS,M,Masculino,24/05/1969,56,TRUE
